,,,,,,,,YIRN Observations,,City Passenger Report,,,,,,
"Tuesday, July 9, 2019",15,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,37,0,31,0,,,1,"Our count was disrupted multiple times by a Airport maintenance staff trying to talk with us to tell us we didn't know anything and that all the people on the planes were ""criminals"" pushing his point repeatedly. I will need to check with Cliff to see what his count was.",https://flightaware.com/live/flight/SWQ3501/history/20190709/1330Z/KIWA/KYKM
"Thursday, July 11, 2019",16,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KDEN,KIWA,0,30,0,30,,,2,"20 men and 10 women deplaned. This was the first time we saw three of the women able to figure out how to hold onto the hand rails, by going down the stairs sidewise.",https://flightaware.com/live/flight/SWQ3711/history/20190711/1651Z/KDEN/KYKM
"Tuesday, July 16, 2019",17,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,52,1,52,0,,,2,"5 women and 45 men got off the buses and onto the plane. One man got off the plane and onto the bus - there was a difference of opinion amongst observers as to whether or not he had originally been on the bus and then ""rejected"" by the plane crew. Buses: 5941RP and 15944RP  ",https://flightaware.com/live/flight/SWQ3501/history/20190716/1330Z/KIWA/KYKM
"Tuesday, July 23, 2019",18,SWQ3550,?,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,89,48,87,49,,,3,"Mick's report: From Bus to Plane - 16 women & 73 men, total 89; from Plane to Bus - 18 women, 30 men. Cristina brought bullhorn and group of Hispanic community",https://flightaware.com/live/flight/SWQ3550/history/20190723/1330Z/KIWA/KYKM
"Tuesday, July 30, 2019",19,SWQ3501,N625SW,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,83,86,81,83,,,3,"62 men and 24 women off the plane, 10 women and 73 men off the bus. 15941RP, 15943RP, 15944RP",https://flightaware.com/live/flight/SWQ3501/history/20190730/
"Tuesday, August 6, 2019",20,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,78,1,79,1,,,3,"11 women and 67 men off the bus onto the plane. 1 woman deplaned and put on the bus back to Tacoma.  Buses 15941RP, 14943RP, 15944RP",https://flightaware.com/live/flight/SWQ3501/history/20190806/1337Z/KIWA/KYKM
"Wednesday, August 7, 2019",21,WAL508,N805WA,World Atlantic Airlines,World Atlantic Leasing LLC,KDEN,KSAT,0,67,0,77,,,2,Women on to small bus--18; Men onto larger bus 49. Plane was a MD83.,https://flightaware.com/live/flight/WAL508/history/20190807/1642Z/KDEN/KYKM
"Monday, August 12, 2019",22,WAL108,N801WA,World Atlantic Airlines,World Atlantic Leasing LLC,KONT,KBRO,0,60,0,62,,,2,40 men and 20 women deplaned. No detainees boarded the plane from the buses. Buses: 15941RP and 15943RP.,https://flightaware.com/live/flight/WAL108/history/20190812/
"Tuesday, August 13, 2019",23,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,55,1,54,0,,,2,"4 women and 51 men off the buses onto the plane. 1 person was ""rejected"" and sent back to the bus.  After seeing Michael's closeup pictures it looks like one other guy got off the plane. Buses:  40272RP and 15941RP.",https://flightaware.com/live/flight/SWQ3501/history/20190813/1339Z/KIWA/KYKM
"Tuesday, August 20, 2019",24,SWQ3501,N629SW,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,88,18,88,20,,,3,Off the bus and on the plane - 81 men and 7 women  --  Off the plane and on the bus - 18 women,https://flightaware.com/live/flight/SWQ3501/history/20190820/1509Z/KIWA/KYKM
"Tuesday, August 27, 2019",25,SWQ3501,N629SW,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,60,0,61,0,,,2,50 men and 10 women getting off the buses ... none getting off the plane,https://flightaware.com/live/flight/SWQ3501/history/20190827/1433Z/KIWA/KYKM
"Friday, August 30, 2019",26,SWQ3567,N625SW,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KDEN,0,78,0,80,,,2,78 men get off the plane - no women and noone off the buses. Buses: 15941RP and  15943RP,https://flightaware.com/live/flight/SWQ3567/history/20190820/
"Tuesday, September 3, 2019",27,SWQ3501,N803TJ,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,74,1,,,,,2,65 men and 9 women boarded the plane from the buses. 1 person got back off the plane and onto the bus. 15943RP and 40272RP,https://flightaware.com/live/flight/SWQ3501/history/20190903/1451Z/KIWA/KYKM
"Saturday, September 7, 2019",28,WAL888,N808WA,World Atlantic Airlines,World Atlantic Leasing LLC,KSAT,KBRO,0,76,0,79,,,2,61 men and 15 women deplaned. No persons were loaded from the bus. Buses 15943RP and 15941RP.,https://flightaware.com/live/flight/WAL888/history/20190907/
"Tuesday, September 10, 2019",29,SWQ3501,N803TJ,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,40,2,39,2,,,1,"35 men and 5 women off bus, 2 men off plane. Bus license 15941RP",https://flightaware.com/live/flight/SWQ3501/history/20190910/1330Z/KIWA/KYKM
"Tuesday, September 17, 2019",30,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,,,,,,,-,Military exercises - not Allowed to view flight because exercise commander didn't want to chance his troops being photographed.,https://flightaware.com/live/flight/SWQ3501/history/20190917/1430Z/KIWA/KYKM
"Tuesday, September 24, 2019",31,SWQ3501,N629SW,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,56,0,,,,,2,"9 women and 47 men boarded the plane. No one got off the plane.  Bus license plates: 40272RP, 15941RP",https://flightaware.com/live/flight/SWQ3501/history/20190924/1430Z/KIWA/KYKM
"Monday, September 30, 2019",32,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,68,0,69,0,,,2,63 men and 5 women off the bus and onto the plane. 12+ detainees in shirt sleeves and several in shorts!  Buses  15941RP and 15943 RP,https://flightaware.com/live/flight/SWQ3501/history/20190930/1330Z/KIWA/KYKM
"Tuesday, October 8, 2019",33,SWQ3510,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,63,49,,,,,3,Off the plane - 29 women and 20 men (the bunch that started out as men were mixed and it was hard to see how many were men and how many were women. and Off the buses - 6 women and 57 men. - 3 buses - 15941RP 15943 RP,https://flightaware.com/live/flight/SWQ3510/history/20191008/1430Z/KIWA/KYKM
"Tuesday, October 15, 2019",34,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,62,2,,,,,2,12 women and 50 men got off the buses and boarded the plane.  One of the buses broke down on Valley Mall Blvd & 3rd Avenue and the first bus had to go back and pick up the detainees and came back with them 30 minutes after its first arrival. 2 men rejected on the flight and put on the bus. Bus 15943RP,https://flightaware.com/live/flight/SWQ3501/history/20191015/1430Z/KIWA/KYKM
"Tuesday, October 22, 2019",35,SWQ3501,N531AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,35,2,,,,,2,"4 women and 32 men off the buses. There may have been one person who was put back on a bus, but I'll awaiting the photographers pics so we can figure that out. Buses:  15943RP and 15944RP",https://flightaware.com/live/flight/SWQ3501/history/20191022/1447Z/KIWA/KYKM
"Tuesday, October 29, 2019",36,SWQ3501,N531AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,77,3,,,,,3,"60 men and 17 women got off the buses; 3 men got off the plane.  Buses:  15943RP, 15944RP and 72716RP",https://flightaware.com/live/flight/SWQ3501/history/20191029/1435Z/KIWA/KYKM
"Tuesday, November 5, 2019",37,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,61,2,,,,,2,7 women and 54 men got off the bus and 2 men got off the plane.  Buses 15944RP and 14941RP,https://flightaware.com/live/flight/SWQ3501/history/20191105/1430Z/KIWA/KYKM
"Tuesday, November 12, 2019",38,SWQ3501,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,49,0,,,,,2,"43 men and 6 women got off the bus and boarded the plane. One man was put on the plane with a wheelchair. One man got off the plane, but was then put back on. 1 bus and one lift van - for the wheelchair: License plates: 15944RP & 17508 - with wheelchair icon on license plate.",https://flightaware.com/live/flight/SWQ3501/history/20191112/1430Z/KIWA/KYKM
"Tuesday, November 19, 2019'",39,SWQ3501,N538CC,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,49,3,,,,,2,"44 men and 5 women got off the buses and boarded the flight to El Paso, 2 men and 1 woman deplaned and boarded the buses to Tacoma. Licenses: 15941RP and 15943RP",https://flightaware.com/live/flight/SWQ3501/history/20191119/1430Z/KIWA/KYKM
"Tuesday, November 26, 2019",40,SWQ3501,-,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,75,1,,,,,3,"Women off bus, on to plane: 11, Men off buses, on to plane: 64; 1 woman off the plane onto the bus. No Photographer.",https://flightaware.com/live/flight/SWQ3501/history/20191126/1441Z/KIWA/KYKM
"Tuesday, December 3, 2019",41,SWQ3503,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,32,1,,,,,2,26 men and 6 women off the buses; 1 man off the plane. No Photographer.,https://flightaware.com/live/flight/SWQ3503/history/20191203/1430Z/KIWA/KYKM
"Tuesday, December 10, 2019",42,SWQ3503,N917XA,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,51,1,,,,,2,45 men and 6 women off the bus and boarded the plane. 1 woman off the plane. 1 turbaned man was in the group of men that got off the bus. 2 Buses. : 15943RP and smaller bus - 72716RP,https://flightaware.com/live/flight/SWQ3503/history/20191210/1538Z/KIWA/KYKM
"Tuesday, December 17, 2019",43,SWQ3503,N917XA,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,37,3,,,,,2,Today we had 37 men get off the 2 buses and 1 man and 1 woman (I think) get off the plane. Buses:  15941RP and 15943RP. A FIRST at today's flight was that they escorted every single detainee up the steps ... we speculated it was due to icy air stairs!,https://flightaware.com/live/flight/SWQ3503/history/20191217/1444Z/KIWA/KYKM
"Monday, December 23, 2019",44,SWQ3503,N529AU,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KELP,40,0,,,No restrictions. The roadway is bare and wet with slush in places,"Traction Tires Advised, Oversize Vehicles Prohibited. The roadway is bare and wet with slush in places",2,37 men and 3 women off the bus.,https://flightaware.com/live/flight/SWQ3501/history/20191223/1430Z/KIWA/KYKM
"Monday, December 30, 2019",45,SWQ3501,N277EA,"Swift Air ""Swiftflight""",Swift Air LLC,KIWA,KLAS,32,0,,,No restrictions. The roadway is bare and wet.,No restrictions. The roadway is bare and wet.,2,31 men and 1 women gor off the bus. No one got off the plane,https://flightaware.com/live/flight/SWQ3501/history/20191230/1436Z/KIWA/KYKM
,,,,,,,,,,,,,,,,
,,,,,,,Totals,2080,1119,1291,1082,,,,,
,,,,,,,,,,,,,,,,
N917XA,Logo on tail only,,,,,,,,3199,,2373,,,,,
N531AU,NO Markings,,,,,,,,,,,,,,,
N529AU,Large Swift Air writing,,,,,,,,,,,,,,,
N277EA,Very large 737 marking up the tail - no Swift Air markings on the plane at all,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
These flight numbers are ones that I was able to set up an indefinite alert on Flight Aware for - Danielle,,,,,,,,,,,,,,,,
SWQ3501,,KIWA,KELP,,,,,,,,,,,,,
SWQ3503,,KIWA,KELP,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Arriving as 3501 - departs as 3502,,,,,,,,,,,,,,,,
